topic,stance,argument,argument_sentiment
intellectual property rights,CON,Copyright is a fundamental right for both creators and consumers,1.0
wind power,PRO,wind power can improve energy security,1.0
multiculturalism,PRO,the strongest nations are those that are made up of different racial elements,1.0
gambling,PRO,Any form of gambling is susceptible to fraud,-1.0
wind power,PRO,"Wind power, as an alternative to fossil fuels, is plentiful",1.0
the monarchy,PRO,Monarchy is ethnic-discrimination,-1.0
governments should choose open source software,PRO,"The open source community promotes the creation of software that is not proprietary, thus resulting in lower costs",1.0
the sale of violent video games to minors,PRO,children may imitate aggressive behaviors witnessed in media,-1.0
all nations have a right to nuclear weapons,PRO,nuclear weapons can induce stability,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Life in the south under rocket barrages had become unbearable,-1.0
partial birth abortions,CON,there is a fundamental right to privacy encompassing the decision about abortion,1.0
unleash the free market,PRO,Self-interested competition in the free market would tend to benefit society as a whole,1.0
build hydroelectric dams,CON,Hydroelectric projects can be disruptive to surrounding aquatic ecosystems,-1.0
the sale of violent video games to minors,CON,societal media consumption and violent crime rates are not well associated,1.0
endangered species,PRO,"When biodiversity is lost, the environment loses many species that provide valuable and unique roles to the ecosystem",-1.0
unleash the free market,CON,the state has a legitimate role in providing public goods,1.0
the sale of violent video games to minors,CON,There is no direct link between violent video games and their influence on children,1.0
subsidize poor communities,PRO,Safety nets protect households facing hard times from falling into deeper poverty and help them manage risk,1.0
atheism,PRO,natural (non-supernatural) theories adequately explain the development of religion and belief in gods,1.0
only teach abstinence for sex education in schools,CON,Evidence has not supported the effective use of abstinence-only sex education,-1.0
intellectual property rights,PRO,Copyright serves to enrich a few at the expense of creativity,-1.0
unleash the free market,PRO,any interference with the market process decreases social well being,-1.0
intellectual property rights,PRO,"intellectual property rights may become so fragmented that, effectively, no one can take advantage of them",-1.0
the sale of violent video games to minors,CON,video game play is part of an adolescent boy's normal social setting,1.0
only teach abstinence for sex education in schools,PRO,condom-promotion programs encourage promiscuity,-1.0
atheism,PRO,there are no good reasons and no credible grounds for believing that gods exist,-1.0
atheism,CON,religion is a positive civilizing influence on society,1.0
the right to bear arms,CON,making civilian ownership of firearms illegal would increase the crime rate,-1.0
only teach abstinence for sex education in schools,PRO,educating children about sex can encourage them to engage in it,-1.0
Israel's 2008-2009 military operations against Gaza,CON,The ongoing Israeli military operation in Gaza resulted in massive violations of human rights of the Palestinian people,-1.0
the monarchy,CON,Monarchy safeguards the constitutional rights of the individual,1.0
the blockade of Gaza,PRO,current Israeli restrictions are counterproductive for Israel's long term security,-1.0
the sale of violent video games to minors,PRO,"exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior",-1.0
unleash the free market,PRO,a free market is efficient at resource allocation,1.0
unleash the free market,PRO,competition in the free market is more effective than the regulation of industry,1.0
advertising,PRO,advertising is misleading,-1.0
advertising,PRO,Ads are a detriment to society because they tell consumers that accumulating more and more possessions will bring them closer to self-actualization,-1.0
unleash the free market,PRO,having free trade would be a net gain for society,1.0
the blockade of Gaza,PRO,tragedies are completely inevitable if Israel does not listen to the callings of the international community to end the unacceptable and counter-productive blockade of Gaza,-1.0
the sale of violent video games to minors,CON,numerous researchers have proposed potential positive effects of video games,1.0
unleash the free market,PRO,a central planning authority would have to be endowed with powers that would impact and ultimately control social life,-1.0
the sale of violent video games to minors,CON,Video game content is a form of freedom of expression,1.0
build hydroelectric dams,CON,"Traditional hydro dams store enormous quantities of water in reservoirs, necessitating the flooding of large tracts of land",-1.0
endangered species,PRO,Biodiversity supports many ecosystem services,1.0
all nations have a right to nuclear weapons,CON,Nuclear weapons give nations the potential to not only destroy their enemies but humanity itself,-1.0
the sale of violent video games to minors,PRO,Exposure to violent video games causes at least a temporary increase in aggression and this exposure correlates with aggression in the real world,-1.0
gambling,CON,Catholic and Jewish traditions have even set aside days for gambling,1.0
the right to bear arms,PRO,gun control laws are effective in reducing gun-related accidents and crime,1.0
unleash the free market,PRO,market economies are inherently stable if left to themselves,1.0
democratization,PRO,democracies have less internal systematic violence,1.0
the use of affirmative action,PRO,"Affirmative action is intended to promote 
equal opportunity",1.0
atheism,CON,"basic facts, such as humanity's existence, are best explained by the existence of God",1.0
democratization,CON,democratic institutions would do no more than shift the exercise of power from oppression to manipulation,-1.0
all nations have a right to nuclear weapons,PRO,Nuclear disarmament would undermine deterrence,-1.0
advertising,PRO,marketing promotes consumerism and waste,-1.0
all nations have a right to nuclear weapons,CON,nuclear holocaust could result in an end to human life,
intellectual property rights,PRO,Patents are criticised as inonsistent with free trade,-1.0
only teach abstinence for sex education in schools,CON,Abstinence-only sex education does not decrease rates of unplanned pregnancy,-1.0
only teach abstinence for sex education in schools,CON,"Sex-abstinence programs do not stop risky sexual behavior, or help in the prevention of unwanted pregnancy",-1.0
the sale of violent video games to minors,PRO,Correlations between violent gameplay and some comming childhood problems were found,-1.0
barrier methods of contraception,CON,condoms protect against sexually transmitted diseases,1.0
only teach abstinence for sex education in schools,CON,Abstinence-only programs have not demonstrated successful outcomes,-1.0
atheism,CON,"everything in the Universe has a purpose, which must have been caused by God",1.0
multiculturalism,CON,multicultural education may cause abandonment of original cultural,-1.0
atheism,PRO,"God cannot exist with, or would want to prevent, all evils",-1.0
wind power,CON,people living near wind power facilities are increasingly complaining of health problems,-1.0
the sale of violent video games to minors,PRO,Neurological link was found between playing violent video games and aggressive behaviour in children and teenagers,-1.0
wind power,PRO,the environmental effects of wind power are relatively minor,1.0
the blockade of Gaza,CON,Blockades and other forms of economic sanction are permitted in international law,1.0
Israel's 2008-2009 military operations against Gaza,PRO,"the Israeli operation greatly curtailed years of Hamas rocket fire, returning a sense of normalcy to Southern Israel",1.0
Israel's 2008-2009 military operations against Gaza,PRO,"the offensive was the result of Israel’s ""patience running out"" over the rocket attacks",
unleash the free market,PRO,Freer markets result in freer people,1.0
have children,PRO,human existence has ultimately been destructive to the Earth and many of its non-human organisms,-1.0
unleash the free market,CON,the market on its own does not allocate resources efficiently,-1.0
the sale of violent video games to minors,CON,No long-term relationship was found between playing violent video game and youth violence or bullying,1.0
multiculturalism,PRO,all cultures and civilizations are of equal value,1.0
unleash the free market,PRO,free trade would reduce war,1.0
unleash the free market,CON,intervention is necessary to solve market-created externalities,1.0
unleash the free market,CON,"the state has a role to play in the economy, and specifically, in creating a ""safety net",1.0
democratization,PRO,Democratization empowers people legally in entitling them to practice freedom,1.0
Israel's 2008-2009 military operations against Gaza,PRO,anything affiliated with Hamas is a legitimate target,-1.0
the use of affirmative action,CON,recognition and rights accorded to specific groups may interfere with the state's need to establish a cohesive identity,-1.0
partial birth abortions,PRO,the embryo has a right to life,1.0
multiculturalism,PRO,Diversity is intrinsically valuable to the dominant culture,1.0
barrier methods of contraception,CON,condoms are acceptable as a means of preventing AIDS,1.0
democratization,PRO,only in a democracy the citizens can have a share in freedom,1.0
Israel's 2008-2009 military operations against Gaza,PRO,The Gaza war was conducted as a response to rockets fired from the Gaza Strip,1.0
have children,PRO,the extinction of humanity would be the best solution to the Earth's environmental problems,1.0
barrier methods of contraception,PRO,"birth control, in all forms, is sin",-1.0
endangered species,CON,The very fact that a species is near extinction implies that its final demise will have negligible impact,
atheism,CON,all moral thought requires the assumption that God exists,1.0
subsidize poor communities,CON,Subsidies tend to be expensive and regressive,-1.0
the monarchy,CON,the Crown is a guarantor against the misuse of constitutional power by politicians,1.0
intellectual property rights,CON,"without an intellectual property rights regime, authors would have no incentive to further create",1.0
wind power,CON,Wind farms can interfere with ground radar systems,-1.0
the one-child policy of the republic of China,CON,Parents have a basic human right to determine freely and responsibly the number and the spacing of their children,1.0
freedom of speech,PRO,it is necessary to prevent the use of information resources and technologies for criminal and terrorist purposes,-1.0
advertising,PRO,massive advertising has a detrimental effect on children,-1.0
democratization,PRO,"democracy has repeatedly proven to be a fundamentally better system (ethically, politically, economically) than any of the alternatives",1.0
have children,PRO,procreation today is de facto child abuse,-1.0
freedom of speech,CON,an effort to limit the use of words of language is actually a form of restricting freedom of thought,-1.0
the one-child policy of the republic of China,CON,Lack of siblings has been blamed for a number of social ills,-1.0
partial birth abortions,PRO,deliberate abortions are seriously immoral,-1.0
multiculturalism,PRO,Citizens in a diverse democratic society should be able to maintain attachments to their cultural communities,1.0
unleash the free market,PRO,the market is able to coordinate itself,1.0
only teach abstinence for sex education in schools,CON,Sex education in school makes it easier for parents to talk to their adolescents about sex,1.0
endangered species,PRO,The environment and all its inhabitants rely on biodiversity,1.0
unleash the free market,PRO,central planners would not know how to allocate the available resources efficiently,-1.0
governments should choose open source software,PRO,users should be able to study and change the software they use,1.0
the blockade of Gaza,PRO,The situation in Gaza is unsustainable and unacceptable,-1.0
build hydroelectric dams,PRO,The cost of operating a hydroelectric plant is nearly immune to increases in the cost of fossil fuels,1.0
the sale of violent video games to minors,CON,violent games help students deal with stress and aggression,1.0
governments should choose open source software,PRO,Open source provides a flexibility not available in closed products,1.0
only teach abstinence for sex education in schools,PRO,"The majority of parents reject the so-called ""comprehensive"" sex education approach",-1.0
unleash the free market,CON,the lack of perfect information and perfect competition in a free market is grounds for government intervention,1.0
the one-child policy of the republic of China,CON,The policy is controversial both within and outside of China,-1.0
unleash the free market,PRO,The free market is believed to self-regulate in the most efficient and just way,1.0
atheism,PRO,theistic religions devalue human compassion and morality,-1.0
partial birth abortions,CON,abortion should be approved or disapproved according to each circumstance,
intellectual property rights,PRO,intellectual property laws can actually hinder innovation,-1.0
unleash the free market,PRO,economic and political freedoms are linked,
atheism,CON,the universe's order and complexity are best explained by reference to a creator God,1.0
barrier methods of contraception,PRO,Birth control could open wide the way for marital infidelity,-1.0
multiculturalism,PRO,one does not need to assimilate or abandon one's heritage in order to blend in,-1.0
only teach abstinence for sex education in schools,CON,Adolescents want both to talk to their parents about sex and to have comprehensive in-school sex education,1.0
multiculturalism,CON,Multiculturalism can become a polite and euphemistic way of affirming and persisting unequal power relationships,-1.0
unleash the free market,PRO,it is competition between buyers and sellers that channels the profit motive of individuals on both sides of the transaction such that improved products are produced and at lower costs,1.0
multiculturalism,PRO,the distinctiveness of people's identity and their rights to preserve their heritage should be acknowledged,1.0
unleash the free market,CON,markets have inefficient and democratically-unwanted outcomes,-1.0
freedom of speech,CON,"the more freely information flows, the stronger societies become",1.0
multiculturalism,CON,Multiculturalism is a perilous concept on which to found policy,-1.0
the right to bear arms,CON,guns provide some level of protection against criminality and tyranny,1.0
endangered species,PRO,we have a responsibility to act as custodians for nature,1.0
barrier methods of contraception,CON,Proper use of condoms reduces contact and risk,1.0
atheism,PRO,the need for explaining life and death can be met by science and philosophy,1.0
the blockade of Gaza,PRO,Israel's blockade violates the Geneva Conventions,-1.0
intellectual property rights,CON,Intellectual property rights promote public welfare,1.0
multiculturalism,CON,multiculturalism obscures the social costs associated with large scale immigration,-1.0
unleash the free market,CON,the responsibility of government should involve enough surveillance over the enterprise system to ensure the social usefulness of all economic activity,1.0
the right to bear arms,CON,Self-defense is considered to be a fundamental and inalienable human right,1.0
Israel's 2008-2009 military operations against Gaza,PRO,The repeated firing of rockets by Hamas endangers the lives of both Israeli and Palestinian civilians,-1.0
all nations have a right to nuclear weapons,PRO,Nuclear proliferation will decrease the likelihood of war,1.0
unleash the free market,PRO,"while in centrally planned economies an individual or a select group of individuals must determine the distribution of resources, these planners will never have enough information to carry out this allocation reliably",-1.0
unleash the free market,CON,"free trade agreements generally do not increase the economic freedom of the poor or the working class, and frequently make them poorer",-1.0
subsidize poor communities,CON,Welfare sustains or even creates poverty,-1.0
unleash the free market,PRO,"only market capitalism could manage a complex, modern economy",1.0
the use of affirmative action,PRO,Affirmative action is designed to improve the well being of perceived backward and under represented communities,1.0
democratization,PRO,the continuing increase in democracy worldwide will soon lead to an end to wars and democide,1.0
Israel's 2008-2009 military operations against Gaza,CON,aggression and disproportionate use of force by Israel is unfortunate and only leads to further escalation of violence,-1.0
gambling,CON,Gambling is a major international commercial activity,1.0
gambling,CON,Betting on team sports has become an important service industry in many countries,1.0
freedom of speech,PRO,"when a nation is at war, many things that might be said in time of peace are such a hindrance to its effort that their utterance will not be endured so long as men fight",-1.0
atheism,CON,life and the universe were created by a deity,1.0
the right to bear arms,CON,it would be of no use to forbid law-abiding citizens to own legal registered guns in accordance to the law,-1.0
subsidize poor communities,PRO,when there is economic inequality then political inequality is assured,-1.0
endangered species,CON,Any efforts to protect the world’s remaining natural habitat and biodiversity will compete directly with humans’ growing demand for natural resources,-1.0
democratization,CON,democracy is undesirable for a developing country,-1.0
multiculturalism,PRO,Multicultural education provides a relatively fairer learning environment for international students,1.0
only teach abstinence for sex education in schools,CON,sex education is necessary to prepare the young for the task ahead,1.0
subsidize poor communities,PRO,inequality is harmful for economic development,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Hamas attacks are violations of basic humanitarian law,-1.0
unleash the free market,CON,"A private company will serve the needs of those who are most willing (and able) to pay, as opposed to the needs of the majority",-1.0
atheism,PRO,the existence of some or all gods is logically impossible,-1.0
barrier methods of contraception,PRO,Contraception is contrary to the good of the transmission of life,-1.0
endangered species,CON,"since species become extinct ""all the time"" the disappearance of a few more will not destroy the ecosystem",1.0
democratization,CON,larger democracies are unable to allow a sufficient number of their citizens to have their voices heard,-1.0
the monarchy,PRO,the country's head of state should be elected,
unleash the free market,PRO,people should make their own choices with their money,1.0
only teach abstinence for sex education in schools,CON,no studies have shown abstinence-only programs to result in delayed intercourse,-1.0
atheism,PRO,"theist religions and their holy books are not divinely inspired, but instead are fabrications of non-divine human individuals",-1.0
unleash the free market,PRO,only a free market can create healthy competition and therefore more business,1.0
advertising,CON,advertising can be seen as necessary for economic growth,1.0
subsidize poor communities,CON,redistribution of legitimately obtained property cannot ever be just,-1.0
only teach abstinence for sex education in schools,CON,sex education programs focusing on both abstinence and contraception had a positive effect on teen sexual behavior,1.0
unleash the free market,PRO,the occurrence of free trade has prevented the outbreak of war,1.0
endangered species,PRO,species are irreplaceable components of the global ecosystem,1.0
freedom of speech,CON,there must be no constraints on the free flow of information and ideas,1.0
barrier methods of contraception,PRO,an act which deliberately attempts to divorce the unitive and procreative meaning of the marital act is opposed to God's plan for life,-1.0
wind power,PRO,Wind farms have a smaller footprint than other forms of energy generation,1.0
have children,PRO,it is wrong to intentionally have a child when there are so many children available for adoption,-1.0
wind power,PRO,Wind power has gained very high social acceptance,1.0
all nations have a right to nuclear weapons,CON,The use of (or threat of use of) nuclear weapons would generally be contrary to the rules of international law applicable in armed conflict,-1.0
unleash the free market,PRO,Laissez-faire economic politics and parties permit faster growth,1.0
only teach abstinence for sex education in schools,CON,Sex education programs focusing on both abstinence and contraception have a positive effect on teen sexual behavior,1.0
partial birth abortions,CON,women's lives are lost due to unsafe abortions when abortion is illegal,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,the constant threat of impending rocket attacks has caused fear and disrupted the lives of the growing number of Israelis who live within range of such attacks,-1.0
unleash the free market,PRO,Laissez-faire economics is expected to diminish the frequency of war,1.0
only teach abstinence for sex education in schools,CON,broad sex education programs have global benefits,1.0
unleash the free market,PRO,free trade would increase the likelihood of a lasting peace,1.0
have children,PRO,voluntary human extinction is advisable due to limited resources,1.0
barrier methods of contraception,PRO,"the sexual act must ""retain its intrinsic relationship to the procreation of human life",
intellectual property rights,PRO,Allowing property rights in ideas and information infringes on the right to own tangible property,-1.0
build hydroelectric dams,PRO,Renewable power technologies have significant environmental benefits,1.0
endangered species,PRO,Diverse ecosystems are typically more productive than non-diverse ones,1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's actions on the Gaza Strip must be characterised as war crimes,-1.0
partial birth abortions,CON,legal abortion under medically controlled conditions is preferable to illegal back-alley abortion without proper medical supervision,1.0
atheism,PRO,Religions require beliefs that are irrational,-1.0
the monarchy,PRO,Monarchy encourages attitudes which are more suited to a bygone age of imperialism,-1.0
barrier methods of contraception,CON,condom use will prevent the spread of AIDS,1.0
only teach abstinence for sex education in schools,PRO,"the importance of the ""wait to have sex"" message ends up being lost when programs demonstrate and encourage the use of contraception",-1.0
freedom of speech,CON,democracy will not be true to its essential ideal if those in power are able to manipulate the electorate by withholding information and stifling criticism,-1.0
wind power,PRO,The use of wind power reduces the necessity for importing electricity from abroad,1.0
build hydroelectric dams,PRO,Large hydropower provides one of the lowest cost options in today’s energy market,1.0
democratization,PRO,democracy aims at reducing political uncertainty and instability,1.0
the blockade of Gaza,PRO,"Gaza Strip is ""an immense concentration camp",-1.0
build hydroelectric dams,CON,Another disadvantage of hydroelectric dams is the need to relocate the people living where the reservoirs are planned,-1.0
atheism,PRO,religion is socially dangerous,-1.0
the use of affirmative action,CON,The selection process should not be based on some arbitrary or irrelevant criterion,-1.0
unleash the free market,PRO,Protectionism creates poverty,-1.0
the use of affirmative action,CON,Affirmative action violates the principle of equal treatment just as much as negative discrimination,-1.0
the monarchy,PRO,Royals are simply celebrities who should not have any formal role,-1.0
build hydroelectric dams,CON,building large dams and reservoirs often involves displacing people and wildlife,-1.0
the one-child policy of the republic of China,CON,governments have a responsibility to meet individuals' reproductive needs,1.0
democratization,PRO,the inclusive nature of democracy can lift the fear of difference that some believe is a license to kill,1.0
all nations have a right to nuclear weapons,CON,"if we hope to escape self-destruction, then nuclear weapons should have no place in our collective conscience, and no role in our security",-1.0
build hydroelectric dams,CON,The construction of large dams entails many tangible and intangible costs,-1.0
the sale of violent video games to minors,CON,"children don't automatically imitate aggression, but rather consider the context of aggression",
democratization,CON,"the parliamentary system subordinates the national interest, or common good, to private interests",-1.0
the right to bear arms,CON,"the right to bear arms is necessary for the citizens to protect themselves from the ""tyranny in government",1.0
subsidize poor communities,CON,Subsidies produce inefficiencies,-1.0
the sale of violent video games to minors,CON,content-based restrictions on games are unconstitutional,-1.0
only teach abstinence for sex education in schools,PRO,"abstinence-only sex education programs ""reduce risky sexual behaviours",1.0
the right to bear arms,CON,arms allow for successful rebellions against tyranny,1.0
the blockade of Gaza,PRO,The blockade was called an action outside of international law.”,-1.0
the one-child policy of the republic of China,PRO,Excessive population growth may reduce output per worker,-1.0
governments should choose open source software,PRO,the widely available code for open-source software makes it easier to identify security vulnerabilities,1.0
the one-child policy of the republic of China,PRO,Overpopulation is seen as a serious threat to the quality of human life,-1.0
multiculturalism,CON,homogeneity and integration are necessary for a society,1.0
multiculturalism,PRO,There is no rational ground for curtailing cultural freedoms,-1.0
build hydroelectric dams,CON,Disadvantages of hydroelectricity systems include: dislocation of people living where the reservoirs are planned,-1.0
gambling,PRO,Abuse is common in homes where pathological gambling is present,-1.0
the one-child policy of the republic of China,PRO,Population control is necessary for economic growth and improved living standards,1.0
the one-child policy of the republic of China,PRO,a decrease in the human population would prevent a significant amount of man-made human suffering,1.0
the right to bear arms,CON,a well-armed citizenry prevents crime,1.0
gambling,CON,Regulation of online gambling is a better alternative than the prohibition of internet gambling,1.0
build hydroelectric dams,PRO,Pumped water storage systems are used to smooth out demand variations,1.0
governments should choose open source software,PRO,"wide availability results in increased scrutiny of the source code, making open source software more secure",1.0
unleash the free market,PRO,"free market economics"" is the most efficient way to promote economic growth",1.0
unleash the free market,CON,Markets are regulated to some extent by government in order to correct market failures or to promote social welfare,1.0
unleash the free market,PRO,Government intervention is seen as harmful,-1.0
only teach abstinence for sex education in schools,PRO,Abstinence is 100% effective in preventing pregnancy,1.0
atheism,PRO,The God hypothesis is considered inferior to evolution by natural selection as explanations for the complexity of life,-1.0
the monarchy,PRO,people are given greater dignity from choosing their head of state,1.0
subsidize poor communities,PRO,Safety nets  protect households facing hard times from falling into deeper poverty and help them manage risk,1.0
subsidize poor communities,PRO,a certain amount of redistribution would be justified,1.0
atheism,CON,atheistic arguments must ultimately refute themselves if pressed with rigorous consistency,-1.0
the sale of violent video games to minors,PRO,violent video games may increase mild forms of aggressive behavior in children and young adults,-1.0
advertising,PRO,Advertising increasingly reduces young people to consumers,-1.0
the use of affirmative action,CON,affirmative action hurts its intended beneficiaries,-1.0
unleash the free market,CON,some regulation is required to make markets work,1.0
the right to bear arms,PRO,guns are dangerous for society,-1.0
the right to bear arms,CON,Right-to-carry laws serve as a deterrent against crime,1.0
the use of affirmative action,CON,no one has a legal right to have any demographic characteristic they possess be considered a favorable point on their behalf,-1.0
the blockade of Gaza,PRO,"all that is being achieved through the blockade is to ""enrich Hamas and marginalize even further the voices of moderation",-1.0
build hydroelectric dams,CON,"Hydro-energy and large dams may not be considered ""clean"" nor ""renewable"" sources of electricity",-1.0
advertising,PRO,Advertising is considered the most prevalent and toxic of the mental pollutants,-1.0
the use of affirmative action,PRO,The impetus towards affirmative action is to redress the disadvantages[REF][REF][REF][REF][REF] associated with overt historical discrimination,1.0
endangered species,PRO,Species richness and genetic biodiversity contributes to and engenders ecosystem stability,1.0
freedom of speech,PRO,one can not tolerate free speech concerning drugs,-1.0
the blockade of Gaza,CON,"the purpose of the restrictions in import of goods into Gaza are to pressure Hamas, which does not recognise Israel and backs attacks on its citizens",1.0
Israel's 2008-2009 military operations against Gaza,CON,"the war was targeted against the ""people of Gaza as a whole",-1.0
atheism,CON,"everything in the Universe follows laws, which must have been created by God",1.0
democratization,PRO,people must have the opportunity to decide what political matters actually are and what should be brought up for deliberation,1.0
unleash the free market,CON,Unfettered markets do not lead to social justice,-1.0
Israel's 2008-2009 military operations against Gaza,CON,"Israel's attacks were ""more than a holocaust",-1.0
Israel's 2008-2009 military operations against Gaza,CON,"the Israeli soldiers at best failed to protect civilians, and at worst deliberately shot at them",-1.0
intellectual property rights,CON,effective enforcement of intellectual property rights is critical to sustaining economic growth,1.0
multiculturalism,PRO,Multicultural education in public schools would promote acceptance of diversity,1.0
subsidize poor communities,PRO,less stratified economies are more socially just,1.0
freedom of speech,PRO,liberty of expression 'is not absolute,-1.0
multiculturalism,PRO,Reform of cultural pathology often comes from the recognition of difference,1.0
the blockade of Gaza,CON,an open seaport in the Gaza Strip endangered the security of Israel,-1.0
multiculturalism,CON,Lack of integration threatens society,-1.0
Israel's 2008-2009 military operations against Gaza,CON,"Military action leading to the killing and suffering of civilians, by whomever is carried out, deserves to be condemned",-1.0
the one-child policy of the republic of China,PRO,The reduction in the fertility rate and thus population growth has reduced the severity of problems that come with overpopulation,1.0
only teach abstinence for sex education in schools,PRO,teaching of contraception for school children presume premarital sex from the outset and somewhat imply that such things are morally permissible,-1.0
unleash the free market,PRO,competitive markets do a good job allocating resources,1.0
democratization,CON,no system of government can or should be imposed upon one nation by any other,
advertising,CON,Advertising itself is extensively considered to be a contribution to culture,1.0
build hydroelectric dams,PRO,A hydroelectric power source has no fuel and low escape risk,1.0
freedom of speech,CON,"free discussion is necessary to prevent the ""deep slumber of a decided opinion",1.0
Israel's 2008-2009 military operations against Gaza,CON,The government of Israel had a policy of deliberately targeting civilians,-1.0
advertising,PRO,20th century advertising is the most powerful and sustained system of propaganda in human history,-1.0
all nations have a right to nuclear weapons,PRO,new nuclear states will use their acquired nuclear capabilities to deter threats and preserve peace,1.0
the sale of violent video games to minors,PRO,Excessive exposure to violent video games and other violent media has been linked to aggressive behaviour,-1.0
wind power,PRO,Wind power development cuts dependence on fossil fuels,1.0
build hydroelectric dams,CON,greenhouse gas emissions from the reservoir may be higher than those of a conventional oil-fired thermal generation plant,-1.0
the one-child policy of the republic of China,CON,economists doubt that a correlation between population reduction and economic growth exists,-1.0
the sale of violent video games to minors,CON,"parents should make the decision” about what video games they purchase for their children, and what constitutes “too violent",
build hydroelectric dams,PRO,hydroelectric plants are clean and have few emissions,1.0
unleash the free market,CON,Free trade is colonialism or imperialism in disguise,-1.0
barrier methods of contraception,PRO,"The problem of AIDS cannot be overcome by the distribution of prophylactics: on the contrary, they increase it",-1.0
the blockade of Gaza,CON,The situation in Gaza is the direct result of Hamas' rule and priorities,-1.0
Israel's 2008-2009 military operations against Gaza,CON,This cycle of violence and retaliation impedes efforts to broker lasting peace in the region,-1.0
freedom of speech,CON,government may not prohibit the expression of an idea simply because society finds the idea offensive or disagreeable,-1.0
partial birth abortions,PRO,Critics consider the IDX procedure to be infanticide,-1.0
the use of affirmative action,PRO,members of minorities require specific provisions and rights to ensure that they are not marginalised within society,
the sale of violent video games to minors,PRO,Violent video games - especially first-person shooter games - encourages real-life acts of violence in teenagers,-1.0
unleash the free market,PRO,free markets provide the greatest possible equity and prosperity,1.0
the use of affirmative action,CON,Affirmative action may increase racial tension,-1.0
build hydroelectric dams,CON,adverse environmental and sociological impacts have been identified during and after many reservoir constructions,-1.0
the monarchy,PRO,Monarchy is viewed as outdated and irrelevant,-1.0
atheism,PRO,"The theory of natural selection is much simpler than the theory of the existence of such a complex being, and thus preferable",1.0
wind power,CON,wind facilities do not have full control over the times and quantities of their electricity output,-1.0
the use of affirmative action,PRO,Differential treatment of racial groups is intended to ameliorate past discrimination,1.0
unleash the free market,CON,trade barriers should exist to help poor nations build domestic industries,1.0
build hydroelectric dams,CON,Hydropower generation is vulnerable to droughts,-1.0
build hydroelectric dams,PRO,"even a slow flowing stream of water, or moderate sea swell, can yield considerable amounts of energy",1.0
democratization,CON,democracies will tend to cater to the whims of the people,-1.0
build hydroelectric dams,CON,"The filling of large reservoirs can induce earth tremors, which may be large enough to be objectionable or destructive",-1.0
democratization,CON,the concept of democracy as a constant process is flawed and detrimental,-1.0
the sale of violent video games to minors,PRO,A correlation was found between children playing violent video games and suffering psychological effects,-1.0
governments should choose open source software,PRO,open-source software is inherently safer,1.0
unleash the free market,CON,free trade hurts developed nations,-1.0
unleash the free market,PRO,individual self-interest operating in a competitive market place produces the unique conditions under which a society’s total utility is maximized,1.0
democratization,CON,Democracy is contrary to human nature,-1.0
partial birth abortions,CON,The government should not interfere with a woman’s ability to have an abortion,1.0
the blockade of Gaza,CON,The naval blockade imposed on the Gaza Strip by Israel conforms to the rules of international law,1.0
build hydroelectric dams,CON,Dams and the creation of reservoirs also require relocation of potentially large human populations,-1.0
democratization,PRO,democratic nations have much less democide or murder by government,1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel violated the Fourth Geneva Convention by targeting civilians,-1.0
Israel's 2008-2009 military operations against Gaza,CON,the military solution won't conduct to peace,-1.0
democratization,CON,countries in transition to democracy are especially likely to be involved in wars,-1.0
democratization,PRO,democracies don't go to war with each other,1.0
partial birth abortions,PRO,induced abortion is the deliberate and unjust killing of the embryo in violation of its right to life,-1.0
build hydroelectric dams,CON,"Large reservoirs required for the operation of hydroelectric power stations result in submersion of extensive areas upstream of the dams, destroying biologically rich and productive lowland",-1.0
endangered species,PRO,Biodiversity is a source of economic wealth,1.0
unleash the free market,CON,virtually all developed countries today successfully promoted their national industries through protectionism,1.0
only teach abstinence for sex education in schools,CON,the vast majority of Americans favor broader sex education programs over those that teach only abstinence,1.0
have children,PRO,the human population is far greater than the Earth can handle,-1.0
unleash the free market,CON,The regulation of markets is widely acknowledged as important to safeguard social and environmental values,1.0
governments should choose open source software,PRO,Open source software offers the potential for a more flexible technology and quicker innovation,1.0
partial birth abortions,PRO,"the state has an ""important and legitimate interest in protecting the potentiality of human life",1.0
multiculturalism,CON,Multiculturalism perpetuates conflicts between and within groups,-1.0
all nations have a right to nuclear weapons,PRO,"an inferior nuclear force, by virtue of its extreme destructive power, could deter a more powerful adversary",1.0
democratization,PRO,democracy gives poor people an opportunity to improve their lot,1.0
freedom of speech,PRO,Speech can be justifiably suppressed in order to prevent harm from a clear and direct threat,-1.0
all nations have a right to nuclear weapons,PRO,The spread of nuclear weapons can increase international stability,1.0
democratization,CON,democracy could be easily exploited by leaders with dictatorial aspirations,-1.0
the one-child policy of the republic of China,CON,"If, for any reason, the single child is unable to care for their older adult relatives, the oldest generations would face a lack of resources and necessities",
multiculturalism,PRO,each ethnic and national group has the right to maintain and preserve its cultural distinction and integrity,
atheism,PRO,Atheism is life-affirming in a way that religion can never be,1.0
