topic,stance,argument,argument_sentiment
the use of affirmative action,CON,affirmative action hurts its intended beneficiaries,-1.0
atheism,CON,"there must be a first cause, which can be given the name God",1.0
blasphemy,PRO,Freedom of expression does not give anyone the licence to insult another's religion or race,-1.0
ASEAN,CON,ASEAN has subscribed to the notion of democratic peace,1.0
partial birth abortions,CON,D&X would be safer and would involve fewer risks for the women,1.0
boxing,PRO,Contact sports have a higher risk of transmission of blood-borne disease between players,-1.0
only teach abstinence for sex education in schools,CON,abstinence-only-until-marriage programs are ineffective,-1.0
the sale of violent video games to minors,PRO,children may imitate aggressive behaviors witnessed in media,-1.0
build hydroelectric dams,PRO,Hydroelectric dams with large reserviors can be operated to provide peak generation at times of peak demand,1.0
boxing,PRO,Full contact sports tend to cause injuries,-1.0
the blockade of Gaza,CON,A country has the right to decide that it chooses not to engage in economic relations or to give economic assistance to the other party to the conflict,1.0
blasphemy,PRO,"blasphemy, which is a sin committed directly against God, is more grave than murder",-1.0
build hydroelectric dams,CON,Hydroelectric generation can be vulnerable to major changes in the climate,-1.0
freedom of speech,CON,Everyone has the right to freedom of opinion and expression,1.0
freedom of speech,PRO,the circumstances of wartime permit greater restrictions on free speech than would be allowable during peacetime,
housewives should be paid for their work,CON,the household does not form wealth,-1.0
only teach abstinence for sex education in schools,CON,Abstinence-only programs have not demonstrated successful outcomes,-1.0
advertising,PRO,"the commercial basis of media, journalism, and communication could have troubling implications for democracy",-1.0
democratization,PRO,Democratization empowers people legally in entitling them to practice freedom,1.0
the right to bear arms,CON,Laws that forbid the carrying of arms make things worse for the assaulted and better for the assailants,-1.0
atheism,PRO,the concept of an omnipotent entity is logically contradictory,-1.0
ASEAN,PRO,The organisation is viewed as imperialistic,-1.0
austerity measures,CON,an increase in government spending will lead to inflation,-1.0
unleash the free market,CON,free market relationships are considered as structured upon coercion,-1.0
the right to bear arms,CON,a well-armed citizenry prevents crime,1.0
austerity measures,PRO,austerity can engender deflation which inflates existing debt,-1.0
the monarchy,CON,A monarch serves the traditional role of embodying and representing the nation,1.0
advertising,PRO,advertising attempts to equate the social with the material by utilizing images and slogans to link commodities with the real sources of human happiness,-1.0
gambling,CON,there is no moral impediment to gambling,1.0
leaking of military documents,PRO,Access to information is increasingly recognised as a prerequisite for transparency and accountability of governments,1.0
multiculturalism,PRO,Multiculturalism promotes respect for the dignity of the lives and voices of the forgotten,1.0
partial birth abortions,CON,criminalizing abortion will lead to the deaths of many women through ‘back-alley abortions,-1.0
endangered species,PRO,biodiversity has intrinsic aesthetic and spiritual value to mankind,1.0
all nations have a right to nuclear weapons,PRO,"the present situation whereby Nuclear Weapon States monopolise the right to possess nuclear weapons is ""highly discriminatory",-1.0
collective bargaining rights claimed by trades unions,CON,Collective bargaining contributes to the effective conduct of public business,1.0
make physical education compulsory,PRO,moderate exercise has a beneficial effect on the human immune system,1.0
the use of affirmative action,PRO,the principle of equality sometimes requires States parties to take affirmative action in order to diminish or eliminate conditions which cause or help to perpetuate discrimination prohibited by the Covenant,1.0
the use of truth and reconciliation commissions,CON,Justice is a prerequisite for reconciliation rather than an alternative to it,
the right to asylum,CON,refugees (legally defined to be people who are persecuted in their original country and then enter another country seeking safety) should be exempted from immigration laws,1.0
the blockade of Gaza,PRO,current Israeli restrictions are counterproductive for Israel's long term security,-1.0
the right to asylum,PRO,Only a fraction of all the illegal immigrants is actually eligible for an asylum status,
build hydroelectric dams,PRO,hydroelectricity produces the least amount of greenhouse gases and externality of any energy source,1.0
the blockade of Gaza,CON,the blockade is legal,1.0
the right to asylum,CON,Refugee populations consist of people who are terrified and are away from familiar surroundings,1.0
governments should choose open source software,PRO,users should be able to study and change the software they use,1.0
the use of affirmative action,PRO,"Affirmative action is intended to promote 
equal opportunity",1.0
leaking of military documents,CON,The purpose of censorship is to prevent the publication of security information which could benefit the enemy or harm the State,1.0
the use of truth and reconciliation commissions,PRO,"Restorative approaches seek a balanced approach to the needs of the victim, wrongdoer and community through processes that preserve the safety and dignity of all",1.0
democratization,CON,corruption still is rife in spite of democratically elected governments,-1.0
national service,PRO,leadership skills acquired during military training can absolutely enhance one’s chances for success in corporate life,1.0
atheism,CON,"there was a ""first cause"", or ""prime mover"" who is identified as God",1.0
make physical education compulsory,PRO,Physical exercise can contribute positively to maintaining a healthy weight,1.0
the use of performance enhancing drugs in professional sports,PRO,"drug testing can be wildly inconsistent and, in some instances, has gone unenforced",-1.0
the right to asylum,PRO,Immigrants damage a sense of community and nationality,-1.0
unleash the free market,CON,"the free market is not necessarily free, but weighted towards those who already own property",-1.0
implement playoffs in collegiate level American football,CON,a playoff system would create conflicts with student-athletes' studies,-1.0
fund education using a voucher scheme,CON,allowing families the option of both public and private schools undermines the public education system,-1.0
gambling,CON,The lotteries proved very popular and were hailed as a painless form of taxation,1.0
intellectual property rights,CON,property rights encourage their holders to develop the property,1.0
atheism,PRO,religion is socially dangerous,-1.0
bribery,CON,Corruption distorts and retards development,-1.0
all nations have a right to nuclear weapons,CON,The use of (or threat of use of) nuclear weapons would generally be contrary to the rules of international law applicable in armed conflict,-1.0
re-engage with Myanmar,PRO,The use of force is the last thing Burma needs right now,-1.0
boxing,PRO,Protective headgear does not prevent brain damage,
freedom of speech,PRO,Censorship is occasionally carried out to aid authorities or to protect an individual,1.0
all nations have a right to nuclear weapons,CON,a full-scale nuclear war would result in the extinction of the human species,
democratization,PRO,democracy causes peace,1.0
the right to bear arms,CON,"the right to bear arms is necessary for the citizens to protect themselves from the ""tyranny in government",1.0
the right to bear arms,CON,criminals ignore gun control laws,-1.0
bribery,CON,the bribery of government officials impedes the democratic process,-1.0
austerity measures,PRO,Some of the austerity measures are irrational,-1.0
the right to bear arms,CON,The possibility of getting shot by an armed victim is a substantial deterrent to crime,1.0
unleash the free market,CON,"the state has a role to play in the economy, and specifically, in creating a ""safety net",1.0
have children,PRO,Voluntary human extinction will prevent human suffering and the extinction of other species,1.0
gambling,PRO,Abuse is common in homes where pathological gambling is present,-1.0
the sale of violent video games to minors,PRO,Violent video games are influencing children's view about violence,-1.0
intellectual property rights,CON,all proposed alternatives to copyright protection do not allow for viable business models,-1.0
democratization,PRO,democracies do not fight one another,1.0
only teach abstinence for sex education in schools,PRO,Abstinence is the only way to avoid sexually transmitted diseases,1.0
have children,PRO,many species are threatened by the increasing human population,-1.0
democratization,PRO,democracies have less internal systematic violence,1.0
the creation of private universities in the UK,PRO,private market factors can more efficiently deliver many goods or service than governments,1.0
build hydroelectric dams,PRO,Hydro is a flexible source of electricity,1.0
the right to bear arms,CON,citizens need to arm themselves to safeguard political liberties against threats by the government,1.0
atheism,PRO,"belief in God and religion are social functions, used by those in power to oppress the working class",-1.0
the sale of violent video games to minors,CON,video game play is part of an adolescent boy's normal social setting,1.0
build high rises for housing,CON,High-rise structures also pose serious challenges to firefighters during emergencies,-1.0
the use of affirmative action,CON,Affirmative action may increase racial tension,-1.0
intellectual property rights,PRO,Patents are critisized as state-granted monopolies inconsistent with free trade,-1.0
the right to bear arms,CON,the right to bear arms is absolute and unqualified,1.0
the sale of violent video games to minors,PRO,"exposure to violent video games results in increased physiological arousal, aggression-related thoughts and feelings as well as decreased prosocial behavior",-1.0
partial birth abortions,PRO,abortion involves unjust discrimination against the unborn,-1.0
the one-child policy of the republic of China,CON,"China could have expected a continued reduction in its fertility rate just from continued economic development, had it kept to the previous policy",1.0
build high rises for housing,PRO,Planning policies that increase population densities in urban areas tend to reduce car use,1.0
democratization,CON,countries in transition to democracy are especially likely to be involved in wars,-1.0
the use of affirmative action,CON,The selection process should not be based on some arbitrary or irrelevant criterion,-1.0
wind power,PRO,Wind projects revitalize the economy of rural communities,1.0
endangered species,PRO,human economic productivity is largely reliant on Earth's ecosystems,1.0
national service,PRO,It is less likely that a republic with conscription would engage in preemptive wars,1.0
the monarchy,CON,Monarchs rule with the intent of improving the lives of their subjects,1.0
burning the stars and stripes,CON,The First Amendment's protection does not end at the spoken or written word,
unleash the free market,PRO,the cooperation of a free market is superior “because it is the only method by which our activities can be adjusted to each other without coercive or arbitrary intervention of authority,1.0
unleash the free market,PRO,free markets can solve the economy's problems automatically,1.0
all nations have a right to nuclear weapons,CON,Nuclear proliferation increases the chance of inter-state nuclear conflict,-1.0
wind power,PRO,There are no emissions or pollution produced by a modern wind farm's operation,1.0
the one-child policy of the republic of China,CON,Parents have the exclusive right to determine freely and responsibly the number and spacing of their children,1.0
only teach abstinence for sex education in schools,CON,abstinence-only programs deprive teenagers of critical information about sexuality,-1.0
wind power,CON,wind farms will damage tourism,-1.0
democratization,PRO,democracy and freedom are indispensable ingredient for a stable political system,1.0
have children,PRO,one may generally wish to spare a potential child from the suffering of life,1.0
the use of performance enhancing drugs in professional sports,CON,The extremely dangerous side-effects of performance-enhancing drugs are admitted,-1.0
build hydroelectric dams,CON,"Farms and villages can be flooded by the creation of reservoirs, ruining many livelihoods",-1.0
partial birth abortions,PRO,A partial-birth abortion bears no relevance to any measure needed to advance the health of any woman,-1.0
the blockade of Gaza,CON,The naval blockade's implementation complied with the requirements of international law.,1.0
unleash the free market,PRO,principles of individual liberty morally dictate support for free markets,1.0
barrier methods of contraception,PRO,"since artificial contraception expressly prevents the creation of a new life (and, the Church would argue, removes the sovereignty of God over all of Creation), contraception is unacceptable",-1.0
the one-child policy of the republic of China,CON,The policy is a possible cause behind China's gender imbalance,-1.0
re-engage with Myanmar,PRO,American-led sanctions have had adverse effects on the civilian population,-1.0
the blockade of Gaza,CON,the blockade is necessary to limit Palestinian rocket attacks from the Gaza Strip,1.0
have children,CON,the decision not to procreate at all could be regarded as immoral,-1.0
implement playoffs in collegiate level American football,CON,there are several key advantages that the BCS has over a playoff system,1.0
unleash the free market,PRO,"Through free competition between vendors for the provision of products and services, prices tend to decrease, and quality tends to increase",1.0
unleash the free market,PRO,the state should confine its role to protecting individual liberty and property,
gambling,CON,legal gambling provides significant government revenue,1.0
gambling,CON,Regulation of online gambling is a better alternative than the prohibition of internet gambling,1.0
subsidize the growing of tobacco,PRO,Tobacco use is described as the single most important preventable risk to human health in developed countries,-1.0
the right to bear arms,CON,"the people have a right to ""keep and bear arms"" as a protection from the government",1.0
make physical education compulsory,CON,children learn best with freedom from coercion,1.0
the monarchy,PRO,Monarchy contradicts democracy,-1.0
endangered species,PRO,nature has an intrinsic value,1.0
barrier methods of contraception,PRO,"promotion of condom use will lead to irresponsible, risky sexual behavior",-1.0
unleash the free market,PRO,free trade will make society more prosperous,1.0
the monarchy,PRO,monarchs are not impartial,-1.0
build high rises for housing,CON,Tower blocks may be inherently more prone to casualties from a fire,-1.0
Israel's 2008-2009 military operations against Gaza,CON,This cycle of violence and retaliation impedes efforts to broker lasting peace in the region,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,The rocket attacks have caused widespread fear and hardship in Israeli border towns,-1.0
wind power,PRO,wind power does not pose a threat to people or the environment,1.0
ASEAN,PRO,the agenda of economic integration would negatively affect industries,-1.0
build hydroelectric dams,CON,"The filling of large reservoirs can induce earth tremors, which may be large enough to be objectionable or destructive",-1.0
endangered species,PRO,biodiversity is inherently valuable,1.0
the use of performance enhancing drugs in professional sports,CON,The use of drugs to enhance performance is considered unethical by most international sports organizations,-1.0
congressional earmarks,PRO,Congressmen tend to distribute specialized benefits at a great cost and ignore the particular costs the legislation bears upon the taxpayers,-1.0
intellectual property rights,CON,patent and copyright laws support in fundamental and thoroughgoing ways the expansion of the range of creative human activities that can be commodified,1.0
the one-child policy of the republic of China,CON,T]he policy itself is probably only partially responsible for the reduction in the total fertility rate,-1.0
the sale of violent video games to minors,CON,"parents, not government bureaucrats, have the right to decide what is appropriate for their children",
build hydroelectric dams,PRO,"once the renewable infrastructure is built, the fuel is free forever",1.0
intellectual property rights,PRO,copyright law protects corporate interests while criminalizing legitimate use,-1.0
wind power,PRO,wind power will produce jobs and other forms of economic benefits,1.0
unleash the free market,PRO,"free market economics"" is the most efficient way to promote economic growth",1.0
intellectual property rights,CON,"Without a feasible way to recoup investments of creative time through copyright, there would be little economic incentive to produce",1.0
partial birth abortions,PRO,life begins at conception,1.0
unleash the free market,PRO,monopoly can only come about through government intervention,-1.0
boxing,PRO,"Headgear is not permitted in professional bouts, and boxers are generally allowed to take much more damage before a fight is halted",
wind power,PRO,"Compared to the environmental impact of traditional energy sources, the environmental impact of wind power is relatively minor",1.0
the blockade of Gaza,PRO,The blockade is a crime,-1.0
boxing,PRO,Boxing is very brutal,-1.0
make physical education compulsory,PRO,Frequent and regular aerobic exercise has been shown to help prevent or treat serious and life-threatening chronic conditions,1.0
subsidize the growing of tobacco,PRO,valuable farmland go to waste for the use of a recreational drug instead of being used to plant food crops,-1.0
only teach abstinence for sex education in schools,PRO,Programs that stress abstinence as the only acceptable behavior for unmarried teens delay the initiation of sex,1.0
Israel's 2008-2009 military operations against Gaza,PRO,The right of the Israeli people to a life in peace and security without permanent threat from rocket attacks must be guaranteed,1.0
unleash the free market,PRO,individual self-interest operating in a competitive market place produces the unique conditions under which a society’s total utility is maximized,1.0
barrier methods of contraception,PRO,"birth control, in all forms, is sin",-1.0
unleash the free market,CON,market regulation is important for safeguarding against monopoly formation,1.0
wind power,PRO,A modern wind farm has one of the lowest environmental impacts of all energy sources,1.0
build high rises for housing,PRO,The total cost for the construction of an apartment is much less than the cost invested in the construction of a single house,1.0
bribery,CON,corruption increases the cost of business,-1.0
the one-child policy of the republic of China,CON,Parents have a basic human right to determine freely and responsibly the number and the spacing of their children,1.0
all nations have a right to nuclear weapons,PRO,Nuclear disarmament could lead to increased global instability,-1.0
boxing,CON,"fighters wear protective headgear, reducing the number of injuries, knockdowns, and knockouts",
build hydroelectric dams,PRO,Large hydropower provides one of the lowest cost options in today’s energy market,1.0
atheism,PRO,The argument for the existence of god is a logical fallacy,-1.0
the use of affirmative action,CON,Affirmative action policies tend to benefit primarily the most fortunate among the preferred group,-1.0
partial birth abortions,CON,the law should not criminalize just exercises of the right to control one’s own body,1.0
unleash the free market,PRO,competition leads to innovation and more affordable prices,1.0
democratization,CON,Democracy is reckless and arbitrary,-1.0
gambling,PRO,"As a result of gambling, some are driven to extreme lengths to cover debt",-1.0
barrier methods of contraception,PRO,Birth control could open wide the way for marital infidelity,-1.0
freedom of speech,PRO,Reasonable restrictions upon free speech serve public order,1.0
barrier methods of contraception,PRO,permitting condom use as a method of preventing disease could be interpreted as permitting fornication,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,The Israeli government's use of force in the Gaza Strip are acts of self-defense,1.0
build hydroelectric dams,CON,Large hydroelectric power plants flooding immense forest areas emit large amounts of methane to the atmosphere,-1.0
unleash the free market,PRO,"while in centrally planned economies an individual or a select group of individuals must determine the distribution of resources, these planners will never have enough information to carry out this allocation reliably",-1.0
boxing,CON,The referee intervenes to avoid unnecessary damage or potential injury,
wind power,CON,Wind farms can interfere with ground radar systems,-1.0
democratic governments should require voters to present photo identification at the polling station,PRO,Presenting photographic IDs is a minor inconvenience when weighed against the possibility of ineligible voters affecting elections,1.0
the blockade of Gaza,CON,Israel has a right to stop weapons from going into Gaza,1.0
build high rises for housing,PRO,apartment buildings have high levels of security,1.0
housewives should be paid for their work,PRO,care work is directly related to the health of a society as well as to the economic development of that society,1.0
the creation of private universities in the UK,CON,Public universities often have much lower tuition than private universities,1.0
the right to bear arms,PRO,fewer restrictions on handguns will result in increasing numbers of injuries and deaths,-1.0
the right to bear arms,PRO,There are significant correlations between gun ownership and gun-related suicide and homicide rates,-1.0
democratic governments should require voters to present photo identification at the polling station,CON,photo ID requirements disproportionately affect minority and elderly voters,-1.0
unleash the free market,PRO,the best interests in a given society are achieved by allowing its participants to pursue their own financial self-interest with little or no restraint,1.0
intellectual property rights,CON,intellectual property is desirable because it encourages innovation,1.0
build hydroelectric dams,PRO,a hydroelectric power source is usually comparatively cheap and reliable,1.0
democratization,CON,democracy cannot be imposed from outside,
the right to asylum,CON,Migration provides a positive resource for the economy,1.0
unleash the free market,CON,trade barriers should exist to help poor nations build domestic industries,1.0
unleash the free market,PRO,"by trying to maximize their own gains in a free market, individual ambition benefits society",1.0
multiculturalism,PRO,Multiculturalism allows people to truly express who they are within a society,1.0
burning the stars and stripes,CON,Americans oppose amending the constitution to outlaw flag burning,-1.0
austerity measures,PRO,austerity simply depresses economic growth,-1.0
subsidize the growing of tobacco,PRO,"Subsidies may distort markets, and can impose large economic costs",-1.0
wind power,PRO,Wind power consumes no fuel and no water,1.0
have children,PRO,a decrease in the human population would prevent a significant amount of man-made human suffering,1.0
the use of affirmative action,CON,"social inequality today is due to ""cultural deficits"" of individual people or racial or ethnic groups",-1.0
gambling,PRO,"Problem gambling leads to adverse consequences for the gambler, others, or for the community",-1.0
bribery,CON,Corruption adds to economic inequality,-1.0
atheism,PRO,Atheism is life-affirming in a way that religion can never be,1.0
subsidize poor communities,PRO,Safety nets enable households to make productive investments in their future that they may otherwise miss,1.0
boxing,PRO,In severe cases boxing may cause strokes or paralysis,-1.0
atheism,CON,acknowledgment of God or the gods is a major factor in motivating people towards moral behavior,1.0
boxing,CON,fatalities are rare in heavyweight matches,1.0
the use of affirmative action,CON,Affirmative action may increase racial tension and benefit the more privileged people within minority groups at the expense of the least fortunate within majority groups,-1.0
governments should choose open source software,CON,software produced in this fashion may lack standardization and be incompatible with various computer applications,-1.0
only teach abstinence for sex education in schools,CON,Countries with conservative attitudes towards sex education have a higher incidence of STIs and teenage pregnancy,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israelis have been killed by the unlawful rocket and mortar attacks from Gaza,-1.0
the use of performance enhancing drugs in professional sports,PRO,"The use of performance-enhancing drugs is little different from the use of new materials in the construction of suits and sporting equipment, which similarly aid performance and can give competitors an unfair advantage over others",1.0
unleash the free market,PRO,Markets would lead to equality,1.0
Israel's 2008-2009 military operations against Gaza,PRO,The right of Israel to defend itself against rockets and terrorist attacks is acknowledged,1.0
multiculturalism,CON,Multiculturalism threatens social cohesion,-1.0
have children,PRO,Most of the dangers faced by the planet are attributed to human overpopulation,-1.0
multiculturalism,PRO,There is no rational ground for curtailing cultural freedoms,-1.0
unleash the free market,PRO,Laissez-faire economics is expected to diminish the frequency of war,1.0
the right to asylum,PRO,"Frequently, countries of asylum are some of the world?s poorest nations and cannot handle the large influx of persons",-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Hamas started the conflict by firing rockets on Israel,-1.0
gambling,PRO,nearly all the western states' governments outlawed gambling,-1.0
advertising,PRO,Advertising has been criticized as inadvertently or even intentionally promoting sexism,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Hamas attacks are violations of basic humanitarian law,-1.0
bribery,CON,"Corruption favors the most connected and unscrupulous, rather than the efficient",-1.0
boxing,PRO,Repeated blows to the head are known to gradually cause permanent brain damage,-1.0
atheism,PRO,"atheism is evidence of a healthy, independent mind",1.0
barrier methods of contraception,PRO,an act which deliberately attempts to divorce the unitive and procreative meaning of the marital act is opposed to God's plan for life,-1.0
the one-child policy of the republic of China,PRO,Overpopulation is seen as a serious threat to the quality of human life,-1.0
the sale of violent video games to minors,CON,"there is social utility in expressive and imaginative forms of entertainment, even if they contain violence",1.0
the one-child policy of the republic of China,CON,this four-two-one reconfiguration of the familial structure has distinct ramifications for Chinese society,-1.0
build hydroelectric dams,CON,Dams attenuate floods which may affect the ecology and agriculture seriously,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,The Gaza war was conducted as a response to rockets fired from the Gaza Strip,1.0
the use of performance enhancing drugs in professional sports,PRO,"as outright prevention of doping is an impossibility, all doping should be legalised",1.0
only teach abstinence for sex education in schools,CON,Adolescents want both to talk to their parents about sex and to have comprehensive in-school sex education,1.0
build the Keystone XL pipeline,CON,building this pipeline has the potential to undermine America's clean energy future and international leadership on climate change,-1.0
intellectual property rights,PRO,interference by the state over the centuries in property ownership has had dire consequences for justice as well as for economic productivity,-1.0
implement playoffs in collegiate level American football,PRO,the BCS routinely involves controversy about which two teams are the best in the nation,-1.0
the blockade of Gaza,PRO,the Israeli blockade and closures had pushed the Palestinian economy into a stage of de-development,-1.0
subsidize the growing of tobacco,PRO,The cultivation of tobacco is economically detrimental to the countries that produce it,-1.0
the sale of violent video games to minors,CON,content-based restrictions on games are unconstitutional,-1.0
multiculturalism,CON,Human beings are equal; cultures are not,
fund education using a voucher scheme,PRO,"by distributing vouchers to the families of students equal to the tuition that he/she would receive at his/her local public school, a student’s family could then choose from options where best to send their child",1.0
subsidize the growing of tobacco,PRO,Subsidies provide little benefit to the farmers themselves,-1.0
have children,PRO,attempting to reduce the Earth's population is the only moral option,1.0
the blockade of Gaza,CON,"the purpose of the restrictions in import of goods into Gaza are to pressure Hamas, which does not recognise Israel and backs attacks on its citizens",1.0
governments should choose open source software,CON,Not much support exists for open source software,-1.0
multiculturalism,PRO,"where members of minorities see that their specific needs and ambitions have been acknowledged and catered for, they will commit themselves more willingly to accepting the legitimacy of the nation",1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel was widely criticised by human rights groups for using heavy firepower and causing hundreds of civilian casualties,-1.0
the right to asylum,CON,"everyone has the right to leave any country, including his own, and to return to his country",1.0
the use of affirmative action,PRO,identical treatment may sometimes act to preserve inequality rather than eliminate it,-1.0
have children,CON,Having children is such a positive contribution to the world,1.0
implement playoffs in collegiate level American football,PRO,a team with similar or better arguments to another team can be left out of the BCS despite beating the other team,-1.0
boxing,PRO,Boxing is the only sport where the intention is to inflict serious injury on your opponent,-1.0
the blockade of Gaza,CON,The naval blockade imposed on the Gaza Strip by Israel conforms to the rules of international law,1.0
wind power,PRO,Wind power uses little land,1.0
barrier methods of contraception,CON,The male condom provides excellent protection against sexually transmitted infections,1.0
build the Keystone XL pipeline,PRO,The Keystone XL pipeline would allow the U.S. to increase its energy security and reduce its dependence on foreign oil,1.0
unleash the free market,CON,"Liberty is possible only with social justice and an equitable distribution of wealth and power, which in turn require a degree of active government intervention",1.0
the blockade of Gaza,CON,"Israel ""could not lift the embargo altogether as long as Hamas remains in control"" of Gaza",-1.0
democratization,PRO,A democratic system may provide better information for policy decisions,1.0
partial birth abortions,PRO,induced abortion is the deliberate and unjust killing of the embryo in violation of its right to life,-1.0
build hydroelectric dams,CON,A large dam can endanger ecosystems by restricting the motion of marine animals,-1.0
unleash the free market,PRO,the information problems facing any other form of economic organization other than market capitalism would exceed its capacity to handle information,-1.0
the right to bear arms,CON,guns provide some level of protection against criminality and tyranny,1.0
wind power,PRO,A wind farm is highly reliable,1.0
the sale of violent video games to minors,PRO,video games allow children to act out crimes,-1.0
the monarchy,PRO,the country's head of state should be elected,
wind power,PRO,wind power can improve energy security,1.0
American Jobs Act,PRO,"The American Jobs Act, would give businesses incentives to hire unemployed and disabled veterans",1.0
Holocaust denial,CON,The way of fighting Holocaust deniers is with history and with truth,
unleash the free market,PRO,Allowing individuals to act without any restrictions will produce the best results,1.0
make physical education compulsory,PRO,physical exercise may help decrease some of the effects of childhood and adult obesity,1.0
gambling,PRO,lotteries facilitate a higher degree of inequality than a society should have,-1.0
enforce term limits on the legislative branch of government,CON,Limiting terms deprives voters of the right to choose whom they want in office,-1.0
democratization,PRO,democracies don't go to war with each other,1.0
have children,PRO,Human extinction would prevent environmental degradation,1.0
multiculturalism,CON,The idea of multiculturalism had reached the end of its useful life,-1.0
the one-child policy of the republic of China,CON,Programs that do not take the interests of women into account are unlikely to succeed,-1.0
intellectual property rights,CON,property rights encourage their holders to develop their property or generate wealth,1.0
Israel's 2008-2009 military operations against Gaza,CON,The ongoing Israeli military operation in Gaza resulted in massive violations of human rights of the Palestinian people,-1.0
unleash the free market,PRO,the gains from free trade outweigh any losses,1.0
freedom of speech,PRO,Punishment of dangerous or offensive writings is necessary for the preservation of peace and good order,1.0
the creation of private universities in the UK,CON,Tuition fees at private universities tend to be higher than at public universities,-1.0
burning the stars and stripes,PRO,Americans support a flag desecration amendment,1.0
the one-child policy of the republic of China,PRO,A large increase in population brings certain poverty on the citizenry,-1.0
multiculturalism,PRO,one does not need to assimilate or abandon one's heritage in order to blend in,-1.0
Holocaust denial,CON,It is incorrect to force only one view,-1.0
unleash the free market,PRO,the costs of government failure might be worse than those of the market failure it attempts to fix,-1.0
the blockade of Gaza,PRO,Israel's blockade of Gaza is illegal,-1.0
only teach abstinence for sex education in schools,CON,"The lack of education on safe sex, whether it’s from parents, schools, or otherwise, is a cause of teenage pregnancy",-1.0
wind power,PRO,Wind power emits no air pollution,1.0
bribery,CON,Corruption reduces the quality of government services and infrastructure,-1.0
have children,PRO,it is wrong to intentionally have a child when there are so many children available for adoption,-1.0
multiculturalism,PRO,Diversity must be prevalent and valued,1.0
governments should choose open source software,PRO,"The open source community promotes the creation of software that is not proprietary, thus resulting in lower costs",1.0
boxing,PRO,a powerpunch can do a lot of damage to a boxer,-1.0
advertising,PRO,"Women and men in advertising are frequently portrayed in unrealistic and distorted images that set a standard for what is considered ""beautiful",-1.0
unleash the free market,CON,wages are naturally driven down in free market systems,-1.0
wind power,CON,Wind power has poor capacity contribution,-1.0
unleash the free market,PRO,"free markets are ""simply more productive",1.0
partial birth abortions,PRO,"abortion, and especially late-term abortion, is unjust",-1.0
make physical education compulsory,PRO,Frequent and regular physical exercise boosts the immune system,1.0
build the Keystone XL pipeline,CON,The production of bitumen and synthetic crude oil emits more greenhouse gases than the production of conventional crude oil,-1.0
implement playoffs in collegiate level American football,PRO,Unfair competition is inherent in the structure of the BCS,-1.0
national service,PRO,military service provides job skills,1.0
the right to bear arms,CON,Laws that forbid the carrying of arms serve rather to encourage than to prevent homicides,-1.0
only teach abstinence for sex education in schools,PRO,Abstinence until marriage is the most effective way to avoid HIV infection,1.0
unleash the free market,CON,Governmental intervention can result in potential gains in efficiency,1.0
Israel's 2008-2009 military operations against Gaza,CON,The attacks would not contribute to the security of Israel,-1.0
raising the school leaving age to 18,CON,Schools inhibit a person’s will and ability to self-learn,1.0
the blockade of Gaza,PRO,The blockade is deemed illegal,-1.0
only teach abstinence for sex education in schools,PRO,"The majority of parents reject the so-called ""comprehensive"" sex education approach",-1.0
the use of affirmative action,CON,affirmative action devalues the accomplishments of people who are chosen based on the social group to which they belong rather than their qualifications,-1.0
the use of affirmative action,PRO,members of minorities require specific provisions and rights to ensure that they are not marginalised within society,
unleash the free market,CON,Active government policy can be effective in managing the economy,1.0
the blockade of Gaza,PRO,Peace and stability will not come to the region as long as the blockade of Gaza persists,-1.0
atheism,PRO,humanity would be better off without religion or belief in God,-1.0
fund education using a voucher scheme,CON,a voucher system would weaken public schools,-1.0
enforce term limits on the legislative branch of government,PRO,"term limits force politicians ""to represent the people instead of advancing their own careers",1.0
the sale of violent video games to minors,CON,states do not have the right to decide that some video games are too violent for [minors,
build high rises for housing,CON,people living on higher floors cannot escape fires easily and the fire brigade cannot reach the higher floors quickly,-1.0
advertising,PRO,ads depict the interests and lifestyles of the elite as natural; cultivating a deep sense of inadequacy among viewers,-1.0
unleash the free market,PRO,"market economies allow spontaneous order; that is, ""a more efficient allocation of societal resources than any design could achieve",1.0
bribery,CON,corruption inflates the cost of business,-1.0
intellectual property rights,PRO,Patents are criticised as inonsistent with free trade,-1.0
wind power,CON,"Wind power is ""highly non-dispatchable",-1.0
only teach abstinence for sex education in schools,CON,Abstinence-only sex education does not decrease rates of unplanned pregnancy,-1.0
multiculturalism,CON,many multicultural societies have failed,-1.0
unleash the free market,PRO,all government intervention in the economy is wasteful,-1.0
austerity measures,CON,government deficits are inflationary,-1.0
build hydroelectric dams,PRO,renewable energy is naturally replenished and not subject to the volatility of global fuel markets,1.0
build high rises for housing,CON,The overbearing design of the tower blocks makes them fearsome and unsociable,-1.0
democratization,PRO,democratic nations have much less democide or murder by government,1.0
barrier methods of contraception,CON,The church..has to respect responsible decision-making by couples,
